lat,lon,ele,name,dist,habitat,order_habitat,order_transect
32.91805697,35.53278202,269.774475,A8,0,Upper_N_facing_slope,1,1
32.91811103,35.53276199,269.161438,A9,6.302295017,Upper_N_facing_slope,2,2
32.91814104,35.53275302,268.042328,A10,9.743091887,Upper_N_facing_slope,3,3
32.91816199,35.53273399,268.065002,A11,12.52272407,Upper_N_facing_slope,4,4
32.91821899,35.53271396,266.433624,A12,19.12449405,Upper_N_facing_slope,5,5
32.91825796,35.53273198,265.523254,A13,22.85752165,Upper_N_facing_slope,6,6
32.918278,35.53271396,265.569275,A14,25.41363709,Upper_N_facing_slope,7,7
32.91835402,35.53270499,263.782684,A17,33.84184968,Middle_N_facing_slope,1,8
32.91838302,35.53268597,262.996338,A18,37.38903713,Middle_N_facing_slope,2,9
32.918436,35.53269602,260.843018,A19,42.9519425,Middle_N_facing_slope,3,10
32.918466,35.53268999,259.64389,A20,46.33803537,Middle_N_facing_slope,4,11
32.91850003,35.53267004,258.097534,A21,50.41905323,Middle_N_facing_slope,5,12
32.91852702,35.53269401,257.155792,A22,52.96810293,Middle_N_facing_slope,6,13
32.91863297,35.53267004,257.108826,A24,64.96827285,Middle_N_facing_slope,7,14
32.918666,35.53264498,254.142395,A25,68.99574503,Middle_N_facing_slope,8,15
32.91880396,35.53262897,251.986435,A28,84.37550509,Middle_N_facing_slope,9,16
32.91880698,35.53264598,251.988098,A29,84.45300019,Middle_N_facing_slope,10,17
32.918883,35.53263903,248.03595,A31,92.91899245,Middle_N_facing_slope,11,18
32.918912,35.53260801,249.35939,A32,96.56048328,Narrow_valley,1,19
32.91905802,35.53260902,247.484879,A35,112.6029006,Narrow_valley,2,20
32.91917201,35.53263098,247.65683,A39,124.9255569,Narrow_valley,3,21
32.91930302,35.532563,248.250107,A41,140.2114468,Narrow_valley,4,22
32.91944199,35.532563,250.390121,A46,155.5322094,S_facing_slope,1,23
32.91946102,35.53258496,251.364975,A47,157.3791609,S_facing_slope,2,24
32.91947996,35.53257499,251.441467,A48,159.5835229,S_facing_slope,3,25
32.91949698,35.53257599,251.399948,A49,161.4532001,S_facing_slope,4,26
32.91956697,35.53257901,252.559357,A51,169.1595275,S_facing_slope,5,27
32.91959798,35.53255202,254.900055,A52,172.8855998,S_facing_slope,6,28
32.919659,35.53256099,258.291748,A54,179.5292409,S_facing_slope,7,29
32.91969999,35.532563,258.071533,A56,184.0416945,S_facing_slope,8,30
32.91974299,35.532548,259.146393,A57,188.9565785,S_facing_slope,9,31
32.919788,35.53248899,261.776764,A59,194.6331964,S_facing_slope,10,32
32.91999302,35.53246502,273.239288,A63,217.5463136,S_facing_slope,11,33
32.92035202,35.53235304,276.924683,A72,258.6095279,Plateau,1,34
32.92043801,35.53235698,276.619934,A74,268.0154878,Plateau,2,35
32.92050297,35.53239,275.794098,A76,274.7406323,Plateau,3,36
32.92051798,35.53237902,276.078278,A77,276.5345644,Plateau,4,37
32.92061202,35.53236804,278.216553,A81,287.0455399,Plateau,5,38
32.92064404,35.53233602,278.223785,A82,290.9913213,Plateau,6,39
32.92024598,35.53214097,281.308899,B101,42.04077058,Plateau,13,7
32.92024297,35.53215296,279.60907,B102,43.20968977,Plateau,14,8
32.92025797,35.53221004,275.900726,B103,47.85932571,Plateau,15,9
32.920235,35.53234398,275.900726,B106,60.62118352,Plateau,16,10
32.92024104,35.532375,275.937103,B108,63.28978681,E_facing_slope,1,11
32.92022704,35.53252202,272.351959,B111,77.05138523,E_facing_slope,2,12
32.920235,35.532605,270.564178,B112,84.50766614,E_facing_slope,3,13
32.92019301,35.532634,270.641907,B113,88.07546755,E_facing_slope,4,14
32.92019896,35.532663,269.6588745,B114,90.58498773,E_facing_slope,5,15
32.92019201,35.53271798,268.675842,B115,95.77279261,E_facing_slope,6,16
32.920176,35.53275101,267.304169,B116,99.16099323,E_facing_slope,7,17
32.920177,35.53279401,266.126526,B117,103.0684816,E_facing_slope,8,18
32.92016904,35.53286098,264.822601,B119,109.3767725,E_facing_slope,9,19
32.92015797,35.53291404,262.803284,B120,114.481326,E_facing_slope,10,20
32.92013903,35.53295201,262.479462,B121,118.3889583,E_facing_slope,11,21
32.92015596,35.53298101,262.122498,B122,120.6607196,E_facing_slope,12,22
32.92014297,35.53303398,259.856659,B124,125.7973099,E_facing_slope,13,23
32.92012403,35.53318896,257.400238,B128,140.4135023,E_facing_slope,14,24
32.92015102,35.53325602,256.764618,B130,146.0493203,E_facing_slope,15,25
32.92014599,35.53334001,255.572922,B131,153.8856917,E_facing_slope,16,26
32.92012897,35.53338904,254.017395,B132,158.7137421,E_facing_slope,17,27
32.92016703,35.53341603,253.85701,B133,160.5653385,E_facing_slope,18,28
32.920119,35.53351896,250.165558,B134,170.8727487,E_facing_slope,19,29
32.92014297,35.53360404,247.934708,B135,178.3354013,E_facing_slope,20,30
32.92011498,35.53373496,245.832642,B138,190.8880499,Valley,1,31
32.92008396,35.53396798,243.159332,B142,212.9334932,Valley,2,32
32.92036501,35.531714,284.026337,B92,0,Plateau,7,1
32.92026903,35.53183503,285.296722,B94,15.55842003,Plateau,8,2
32.92027398,35.53186102,281.82074,B95,17.07117212,Plateau,9,3
32.92028898,35.53194702,281.281891,B96,23.36150678,Plateau,10,4
32.92027599,35.53196898,280.743042,B97,25.80511078,Plateau,11,5
32.92027297,35.53201298,281.490112,B99,29.75757098,Plateau,12,6
32.92271102,35.52669601,327.199402,C151,0,Karst,1,1
32.92261999,35.52678603,327.437164,C156,13.16974166,Karst,3,3
32.92259996,35.52680396,326.035675,C157,15.95607903,Karst,4,4
32.92256601,35.52682903,325.471466,C158,20.37339413,Karst,5,5
32.92252502,35.52684797,323.970856,C159,25.10656657,Karst,6,6
32.92247297,35.52680899,321.579132,C160,28.52510166,Karst,7,7
32.92234297,35.52675803,316.85202,C163,41.37897512,Karst,8,8
32.92225496,35.52687597,315.060242,C168,53.48084622,Karst,9,9
32.92219704,35.52691997,314.85849,C173,60.92309637,Karst,10,10
32.92012302,35.53400896,241.842361,D194,0,Valley,4,2
32.92017801,35.53407996,242.819763,D196,9.027175953,Valley,5,3
32.920206,35.53406596,242.244476,D198,10.66290653,Valley,6,4
32.92028697,35.534072,243.261902,D200,19.1779513,Valley,7,5
32.92029301,35.53413603,243.257568,D201,22.34009587,Valley,8,6
32.92031497,35.53412103,243.230591,D202,23.79604912,Valley,9,7
32.92031002,35.53412003,243.2246935,D203,23.26066468,Valley,10,8
32.92039996,35.53416101,243.218796,D208,33.94540954,Valley,12,10
32.92046802,35.534159,243.769745,D212,40.88439535,Valley,13,11
32.92051496,35.53422103,243.570129,D215,47.9200516,Valley,14,12
32.92058403,35.53427098,241.979675,D216,56.8609169,Valley,15,13
32.92057296,35.53425799,243.503815,D217,55.22891501,Valley,16,14
32.92064999,35.534245,244.455765,D219,62.67160228,Valley,17,15
32.92067296,35.53424701,244.984161,D220,65.13514676,Valley,18,16
32.92070498,35.53426897,244.956635,D221,69.1897456,Valley,19,17
32.92073901,35.53426696,245.493805,D223,72.68634985,Valley,20,18
32.92078502,35.534288,245.486176,D224,78.17048424,Valley,21,19
32.92079802,35.53429797,245.590042,D225,79.84649602,Valley,22,20
32.92083398,35.534303,245.311157,D227,83.77755529,Valley,24,22
32.92085602,35.53430401,245.30719,D228,86.12925571,Valley,25,23
32.92094797,35.53425296,245.012283,D230,94.62114973,Valley,26,24
32.92098602,35.534245,245.365845,D231,98.5682147,Valley,27,25
